X,Y,id,left,top,right,bottom,row_index,col_index
-0.75,37.5,4421,-0.75,37.5,-0.625,37.625,68,34
-0.625,38.125,4544,-0.625,38.125,-0.5,38.25,63,35
-0.625,38.0,4545,-0.625,38,-0.5,38.125,64,35
-0.625,37.875,4546,-0.625,37.875,-0.5,38,65,35
-0.625,37.75,4547,-0.625,37.75,-0.5,37.875,66,35
-0.625,37.625,4548,-0.625,37.625,-0.5,37.75,67,35
-0.625,37.5,4549,-0.625,37.5,-0.5,37.625,68,35
-0.5,38.25,4671,-0.5,38.25,-0.375,38.375,62,36
-0.5,38.125,4672,-0.5,38.125,-0.375,38.25,63,36
-0.5,38.0,4673,-0.5,38,-0.375,38.125,64,36
-0.5,37.875,4674,-0.5,37.875,-0.375,38,65,36
-0.5,37.75,4675,-0.5,37.75,-0.375,37.875,66,36
-0.5,37.625,4676,-0.5,37.625,-0.375,37.75,67,36
-0.5,37.5,4677,-0.5,37.5,-0.375,37.625,68,36
-0.375,38.375,4798,-0.375,38.375,-0.25,38.5,61,37
-0.375,38.25,4799,-0.375,38.25,-0.25,38.375,62,37
-0.375,38.125,4800,-0.375,38.125,-0.25,38.25,63,37
-0.375,38.0,4801,-0.375,38,-0.25,38.125,64,37
-0.25,39.625,4916,-0.25,39.625,-0.125,39.75,51,38
-0.25,39.5,4917,-0.25,39.5,-0.125,39.625,52,38
-0.25,39.375,4918,-0.25,39.375,-0.125,39.5,53,38
-0.25,39.25,4919,-0.25,39.25,-0.125,39.375,54,38
-0.25,38.375,4926,-0.25,38.375,-0.125,38.5,61,38
-0.25,38.25,4927,-0.25,38.25,-0.125,38.375,62,38
-0.25,38.125,4928,-0.25,38.125,-0.125,38.25,63,38
-0.125,39.75,5043,-0.125,39.75,0,39.875,50,39
-0.125,39.625,5044,-0.125,39.625,0,39.75,51,39
-0.125,39.5,5045,-0.125,39.5,0,39.625,52,39
-0.125,39.375,5046,-0.125,39.375,0,39.5,53,39
-0.125,39.25,5047,-0.125,39.25,0,39.375,54,39
-0.125,39.125,5048,-0.125,39.125,0,39.25,55,39
-0.125,39.0,5049,-0.125,39,0,39.125,56,39
-0.125,38.5,5053,-0.125,38.5,0,38.625,60,39
-0.125,38.375,5054,-0.125,38.375,0,38.5,61,39
0.0,39.875,5170,0,39.875,0.125,40,49,40
0.0,39.75,5171,0,39.75,0.125,39.875,50,40
0.0,39.625,5172,0,39.625,0.125,39.75,51,40
0.0,39.5,5173,0,39.5,0.125,39.625,52,40
0.0,39.375,5174,0,39.375,0.125,39.5,53,40
0.0,39.25,5175,0,39.25,0.125,39.375,54,40
0.0,39.125,5176,0,39.125,0.125,39.25,55,40
0,39,5177,0,39,0.125,39.125,56,40
0.0,38.875,5178,0,38.875,0.125,39,57,40
0.0,38.625,5180,0,38.625,0.125,38.75,59,40
0.0,38.5,5181,0,38.5,0.125,38.625,60,40
0.0,38.375,5182,0,38.375,0.125,38.5,61,40
0.125,40.0,5297,0.125,40,0.25,40.125,48,41
0.125,39.875,5298,0.125,39.875,0.25,40,49,41
0.125,39.75,5299,0.125,39.75,0.25,39.875,50,41
0.125,39.125,5304,0.125,39.125,0.25,39.25,55,41
0.125,39.0,5305,0.125,39,0.25,39.125,56,41
0.125,38.875,5306,0.125,38.875,0.25,39,57,41
0.125,38.625,5308,0.125,38.625,0.25,38.75,59,41
0.125,38.5,5309,0.125,38.5,0.25,38.625,60,41
0.25,40.125,5424,0.25,40.125,0.375,40.25,47,42
0.25,40.0,5425,0.25,40,0.375,40.125,48,42
0.25,39.875,5426,0.25,39.875,0.375,40,49,42
0.25,39.0,5433,0.25,39,0.375,39.125,56,42
0.25,38.875,5434,0.25,38.875,0.375,39,57,42
0.25,38.75,5435,0.25,38.75,0.375,38.875,58,42
0.25,38.625,5436,0.25,38.625,0.375,38.75,59,42
0.25,38.5,5437,0.25,38.5,0.375,38.625,60,42
0.375,40.25,5551,0.375,40.25,0.5,40.375,46,43
